r cm,A_Rd,B_Rd
0.0,109.49713363759236,295.89728921023226
0.005,38.49533245745372,89.38444993151111
0.01,24.26475765019839,49.719685912021916
0.015,18.277339454410484,33.54283858139446
0.02,14.297932992258996,24.62042418568103
0.025,12.233302275170258,19.151928162752217
0.03,10.414268312198374,15.883890958049856
0.035,9.16669058911679,12.828881473737098
0.04,7.998256329793041,10.851486092576641
0.045,7.20977847428252,9.591045963595509
0.05,6.5505314761240445,8.068313656689613
0.055,6.072879596541599,7.1992538358251785
0.06,5.698225422237522,6.410832230106737
0.065,5.12975907538845,5.740299726149278
0.07,4.784986075173047,5.1397305238544675
0.075,4.3965385839407265,4.625404836052928
0.08,4.176873027262185,4.316740606760494
0.085,3.878456755390341,3.9284889590854393
0.09,3.7275075669445976,3.526701479518463
0.095,3.4770744928405435,3.2181741627577742
0.1,3.175705799332773,3.066531209806432
0.105,3.0927391055572016,2.776892593210983
0.11,2.8354892690386273,2.6398944754346503
0.115,2.6598261922925266,2.3764272180108184
0.12,2.563881078767768,2.2621129534740834
0.125,2.4206589151576408,2.1743783432922776
0.13,2.2722840256612398,1.9785685517771185
0.135,2.138771600464982,1.8702928104619567
0.14,2.0922773640819052,1.7197066801877152
0.145,1.9402732535000562,1.6602826806306743
0.15,1.8498329540629468,1.5324203527914135
0.155,1.7418048022178179,1.4872628781473236
0.16,1.656697173111234,1.4069132458204485
0.165,1.5739683400446407,1.3141722066616097
0.17,1.5038476149076223,1.261919937731924
0.17500000000000002,1.4256428367255813,1.1892283085856399
0.18,1.354543465877835,1.1282599349121119
0.185,1.2814359414111958,1.0594608015237392
0.19,1.255563269683812,1.0239631151174815
0.195,1.1854981423168094,0.9687058787441601
0.2,1.141433831273885,0.9417238508311659
0.20500000000000002,1.0832468333493417,0.8799975518683164
0.21,1.013018725983928,0.8224304622082081
0.215,0.9575119246359485,0.8040647500087272
0.22,0.9151076025063409,0.7713083452115485
0.225,0.9266681786326261,0.7242479043247365
0.23,0.8481791277069198,0.7056881911460722
0.23500000000000001,0.8207167556611626,0.6714015407491238
0.24,0.7960991526058729,0.634993356518717
0.245,0.7427445446366011,0.6282701664515861
0.25,0.7354980431442938,0.5768644654484336
0.255,0.6686801256642634,0.5600431151233466
0.26,0.6652037159416303,0.5446896746469724
0.265,0.6266003086531615,0.5185491973778094
0.27,0.62172568958394,0.5148782185893691
0.275,0.5757961030897636,0.4806945835667172
0.28,0.5657836637998104,0.4633484658410983
0.28500000000000003,0.5449892331646669,0.43404558760655754
0.29,0.5231586427816334,0.4285681500680135
0.295,0.5005960024583263,0.4143591942753333
0.3,0.49733227399902075,0.4029449561360047
0.305,0.4829729812949894,0.37075039871311277
0.31,0.43966284455169624,0.36617620780991555
0.315,0.4186019277174509,0.3542038490783574
0.32,0.4177924246222108,0.3146265365015513
0.325,0.3982170005716742,0.32438473962202957
0.33,0.38095335218493165,0.3126511398482212
0.335,0.36902564957019496,0.3170212653453655
0.34,0.3492287924569359,0.2927468486958523
0.34500000000000003,0.3465852485344718,0.290998045461245
0.35000000000000003,0.3262545379765453,0.2760324584635275
0.355,0.31811498572217545,0.2690948458855104
0.36,0.32311651981802025,0.2611476218896707
0.365,0.307940327554998,0.24326942166113946
0.37,0.27928043681940395,0.2426185966499981
0.375,0.2616710695870592,0.2442403795415813
0.38,0.26015020918612775,0.23215187297911566
0.385,0.25558663432206347,0.2103259847496015
0.39,0.2431051959073196,0.20832091926314805
0.395,0.24376373859489006,0.20413816948306068
0.4,0.23179019927875819,0.19269251476295937
0.405,0.2304002940783598,0.18718397535966697
0.41000000000000003,0.21029609093373108,0.18685359267767088
0.41500000000000004,0.20716525720436574,0.1861192570750486
0.42,0.20387279544674466,0.17442552585630305
0.425,0.18800661196394045,0.16372757556747153
0.43,0.19365167279162493,0.16247972104584393
0.435,0.1767285441502812,0.16333650830486476
0.44,0.18142917122437954,0.15026371665033866
0.445,0.16482761648254501,0.15423968315739886
0.45,0.16484384956355166,0.1435069768522429
0.455,0.1566274479040216,0.13388539286017645
0.46,0.1644736116118995,0.13616122087866026
0.465,0.1487691288967963,0.14268746651328842
0.47000000000000003,0.1481475814420026,0.12467876504364883
0.47500000000000003,0.15130923195540474,0.12606376084280088
0.48,0.142192981194713,0.12076198599072432
0.485,0.13822986203328946,0.11643087144816992
0.49,0.1333006593538307,0.11258974348465511
0.495,0.12473285988973266,0.1110206871307227
0.5,0.13051330125561703,0.1090745062477184
0.505,0.12174174827865533,0.10989004458579837
0.51,0.1122789221580064,0.1009106177075179
0.515,0.1163954697217777,0.09830034227998846
0.52,0.11648033412084224,0.094768508046089
0.525,0.10911661543017602,0.09814701654963828
0.53,0.10004329902054719,0.09192462522665938
0.535,0.10318720661299129,0.09167550991611646
0.54,0.09841789489753804,0.08316240426490523
0.545,0.09590787186804382,0.08335998475984491
0.55,0.09225541206875706,0.07746943371797568
0.555,0.08164026463434597,0.08081618588722064
0.56,0.08722044559087179,0.07768754804333117
0.5650000000000001,0.08633110140304064,0.07594594147184464
0.5700000000000001,0.08564306830288886,0.07578658046979385
0.5750000000000001,0.07919341766372341,0.07100275542081476
0.58,0.07800150461348057,0.07068201285994362
0.585,0.07618470139064652,0.06788279754478141
0.59,0.07605803221542759,0.06764068030589195
0.595,0.0753052809023741,0.05978861040128553
0.6,0.07022993047293422,0.06207676088067856
0.605,0.06834746417138175,0.059520227476902436
0.61,0.06564570454482717,0.06147258175047486
0.615,0.0586060667806061,0.059025103230715165
0.62,0.06627476714067541,0.05789769774528043
0.625,0.0596220793207153,0.05919968934417119
0.63,0.05664450066813236,0.05545728288592417
0.635,0.05857748513532801,0.04911041738472746
0.64,0.057364934454954275,0.051215254897338774
0.645,0.05503741590177889,0.050277872014177154
0.65,0.05387245711181048,0.049246471698334696
0.655,0.049567224766566706,0.049351340971985756
0.66,0.050886825320688195,0.0476126504884124
0.665,0.05090637867892093,0.04683764107299303
0.67,0.048774129412792425,0.04777894301085923
0.675,0.047302088584947395,0.04238518363252252
0.68,0.04559201693736153,0.04346906288804609
0.685,0.04763272331483587,0.041311627027448165
0.6900000000000001,0.044858747199063465,0.04029153483635497
0.6950000000000001,0.04107006520375424,0.03926143920657388
0.7000000000000001,0.0382479980665292,0.036414738260654875
0.705,0.043511589639421935,0.03638324221888896
0.71,0.03720106639823853,0.03896993092714576
0.715,0.0401315502392016,0.03437986785589144
0.72,0.041838567714997645,0.03687061728530739
0.725,0.04023929129053193,0.03353079859748186
0.73,0.03525805394263468,0.03517467360410446
0.735,0.03550718435120855,0.030959398237165738
0.74,0.034346655928797924,0.03153687998791072
0.745,0.033299066341415565,0.02964894469832935
0.75,0.03328975574287126,0.02852300519608678
0.755,0.03261352401775072,0.028285716749164577
0.76,0.030976009813241,0.029499344751383754
0.765,0.03349546617669135,0.028652739818744756
0.77,0.030871947497370572,0.027931683458758752
0.775,0.031271317090531436,0.028555926781595624
0.78,0.030771605086823847,0.026250976945928303
0.785,0.028919286039087867,0.02461565614910776
0.79,0.02767705872428872,0.02400920624983028
0.795,0.02595235199874735,0.02488829175397226
0.8,0.02737735295619712,0.02429494851164682
0.805,0.02654739885690847,0.024296677666882965
0.81,0.025710290263802487,0.024703448739047312
0.8150000000000001,0.024145855047813688,0.02492146019376669
0.8200000000000001,0.02417529222051451,0.022844582367028233
0.8250000000000001,0.024380240751880895,0.02118692189105674
0.8300000000000001,0.02454056905925595,0.019740931453984013
0.835,0.022927985256035944,0.020394383223018262
0.84,0.022430242580537777,0.02071741572520695
0.845,0.020603709936156376,0.017243893363816827
0.85,0.020732772739144506,0.019831042556521992
0.855,0.020802913906062415,0.017286099302843274
0.86,0.021463382981317055,0.018356406206023072
0.865,0.02010134259057253,0.0174650241888803
0.87,0.020292912125319643,0.01786737308575668
0.875,0.019254361094444217,0.016982422112060202
0.88,0.020029439918807585,0.016570575503704256
0.885,0.018497826166842615,0.016409810683798647
0.89,0.017138103697696774,0.01602337737033868
0.895,0.01845885364728908,0.017065576841304282
0.9,0.01611520973005658,0.016541993820746437
0.905,0.016751568135906673,0.013877464807656944
0.91,0.01592092140077158,0.014645195060050607
0.915,0.016587642824002213,0.014880973203569813
0.92,0.015177983867396595,0.016530333977622443
0.925,0.015933160782693852,0.014922801463819262
0.93,0.014363881330058462,0.014367628399914763
0.935,0.014219476651236655,0.014652749043514494
0.9400000000000001,0.01380864484153405,0.01411036262041596
0.9450000000000001,0.014493199969504714,0.013494731286709024
0.9500000000000001,0.015150800464162954,0.01291871953405425
0.9550000000000001,0.014540900378256569,0.013196973414139486
0.96,0.013045308865136013,0.011040822116365402
0.965,0.013658608475836229,0.013153556356014461
0.97,0.013309744451126803,0.012775888406386883
0.975,0.011659974616114495,0.01270602292822141
0.98,0.012208448928761956,0.010654297342214543
0.985,0.012517725341498958,0.011350324148704207
0.99,0.011159400090544377,0.009844975532031928
0.995,0.011015259702863529,0.011748556785465205
